Language_name,I,all,ash,bark,belly,big,bird,bite,black,blood,bone,breast,burn,claw,cloud,cold,come,die,dog,drink,dry,ear,earth,eat,egg,eye,feather,fire,fish,flesh,fly,foot,full,give,good,grease,green,hair,hand,head,hear,heart,horn,hot,kill,knee,know,leaf,lie,liver,long,louse,man,many,moon,mountain,mouth,name,neck,new,night,nose,not,one,path,person,rain,red,root,round,sand,say,see,seed,sit,skin,sleep,small,smoke,stand,star,stone,sun,swim,tail,that,this,tongue,tooth,tree,two,walk,water,we,what,white,who,woman,yellow,you
Mangbutu,umu,,,,,,,,,kutu,ipi,kiko,,,,,ere,konde,ebu,umvue,,ubi,,,,wekiki,,aku,kebi,,,,kitayu,,,,,,adituru,,muNonji,,,,,karu,,tibi,,ida,,teta,,,,dadu,,umba,,ubolo,boku,toNi,,edi,au,,,,,,,,uto,,,eNba,,,,,libi,kina,oye,,,,,kadru,uSe,ukba,adru,,uwe,mayanbo,,,,,,ini
Mangerr,Nab,,,,,,,,,maniNgul,,nady~uk,,,,,,Nakurl,bumb,u5ey,,yinaNk,,,,yim,,wurinkarm,dy~idy~id,,,,mandy~aliyiN,,,,,,yunmiyoerr,,muhila5k,,,,,Nankad,,mayalb,,alkik,,wuwun,,,,,,walNik,,Nankuluwuk,indeheber,inkulb,,mayawam,wunkaN,,,,,,,,yana,,,unkirk,,,,,indy~ukuk,wula4Nam,muhalN,,,,,nindy~ar,lirwalik,manmuhu,uNkekek,,wukuk,Narh,,,,,,nuwu
Manggalili,Nara,,,,,,,,,wuruNgul,Naraga,,,,,,buna,mogoidiri,wadu,wurgdun,,buduro,,,,mil,,buyuga,gwiya,,,,daNaN,,,,,,goN,,Nama,,,,,bun7gumu,,m3n7Tar,,NaldTiri,,mindilN,,,,bugu,,yago,,yuda,,,,waNgain,gaiTal,yudNu,,,,,,,nama,,,galNa,,,,,badTu,bumbaro,walu,,,,,Nanar,lira,gayu,bul3l,,guT3rg,,,,,,,
Manggarai,aku,,,,,,,,,dara,toko,CuCu,,,,,Cai,mata,aCu,inuN,,tilu,,,,mata,,api,ikaN,,,,,,,,,,lime,,deNe,,,,,,,sauN,,ati,,utu,,,,,,NasaN,,weru,wie,isuN,,Ca,salaN,ata,,,,,,,lelo,,,loke,,,,,nt~ala,watu,,,,,,lema,Nis,haju,sua,,wae,ita,,,,,,hau
Mangshi Tai,kau,,,,,,,,,l3t,luk,utau,,,,,ma,tai,ma,lut,,minhu,,,,hoita,,fai,pa,,,,tem,,,,,,mu,,th~om,,xau,,,hoxau,,mau,,tap,,hau,,,,loi,,cu,,mau,kaNxun,hulaN,,l3N,xontaN,kon,,,,,,,yem,,,laN,,,,,lau,makhin,van,,,,,lin,xeu,tonmai,soN,,lam,hau,,,,,,mau
Mangue,saho,,,,,,,,,nij5u,5ui,,,,,,na,naga5u,,koi ri,,5ujmi,,,,nate,,5ayu,5uju,,,,,,,,,,ndiro,,,,nimbomo,,,,,5uma,,,,,,,,tiri,,,,,koyujmi,5uNu,,tike,niro,,,,,,,,,,,ninsu,,,,,5uti,5upa,5umbui,,,,,grijui,niji,5a,ha,,nimbu,,,,,,,
Manide,haku,,,,,,,,,digi7,beyon,,,,,,,pala7,idi7,,,seweN,,,,,,hapuy,kabilihwog,,,,bagtok,,,,,,,,kalkal,,,,,bu7luN,,dahun,,,,,,,,beNag,,Nadon,,be7gi,takep,ha7duN,,supeg,kanog,,,,,,,,talu,,,bala7kis,,,,,,betu7,degow,,,,,katlub,Nipen,kahew,,,,kita,,,,,,hika
Manihiki,koau,,,,,,,,,toto,ivi,u,,,,,aro,mate,kuri,inu,,taringa,,,,mata,,ahi,ika,,,,,,,,,,rima,,fakarongo,,,,,,,,,ate,,ngutu,,,,,,ingoa,,fou,po,ihu,,tetahi,purumu,tangata,,,,,,,,,,pakiri,,,,,fetu,pohatu,,,,,,valero,niho,,lua,,vai,tatou,,,,,,koe
Maninkakan Eastern,m,,,,,,,,,dy~oli,kulu,kara da,,,,,na,sa,ulu,lami,,tulu,,,,5a,,,yege,,,,fani*N,,,,,,bulu,,me,,gere,,,kumbarinkuN,,,,bi5a,,5amu,,,,kuru,,dama,,kuta,su,nuN,,kili*N,sila,moxo,,,,,,,ye,,,gulu,,,,,lolo,kuru,,,,,,,5iN,iri,fula,,dy~i,a*,,,,,,i
Maninkakan Kita,,,,,,,,,,joli,kulu,disi,,,,,na,,wulu,min,,tulu,,,,5a,,ta,yEgE,,,,,,,,,,bulu,,mE,,,,,kunberen,,,,bi5a,,karaNa,,,,,,togo,,,su,nun,,kilin,sila,,,,,,,,ye,,,gulu,,,,,lolo,,tili,,,,,nEn,5in,yiri,hula,,ji,,,,,,,
Manjaca Churo,i*ji,,,,,,,,,ka5ak,kamo,pil,,,,,bi,kE,,ra,,,,,,pekeC,,,utab,,,,atxume,,,,,,ka5e*,,te,,pe*ti*,,,pejul,,kato bumul,,urrEb,,,,,,bejuk,,katimo,,ualu,berEme,biC,,lolo*,bega,ne*t,,,,,,,tene,,,katel,,,,,upeCaje,pelak,unu,,,,,peremi*t,perume,bumul,tab,,melik,ja,,,,,,ui
Manjaca Costa De Baixo,i*ji,,,,,,,,,ka5ak,kamoa,piEl,,,,,bi,txat,ubuC,ra,,,,,,pekeC,,berobiak,utab,,,,atxume,,,,,,ka5a*,,te,,pe*ti*,,,pejul,,kato beko,,urriab,,utEme,,,,bejuk,,katimo,,ualu,berEme,biC,,lole,bega,ni*t,,,,,,,tene,,,katar,,,,,upeCaje,pelak,unu,,,,,pediamet,perrumaje,beko,tab,,melik,ua*d,,,,,,ui
Mankanya,,,,,,,,,,5ak,mo,dy~3nt,,,,,,k3t,bur,dah,,"bat""",,,,,,dah,t3b,,,,,,,,,,53n,,ka,,tin,,,dy~u3l,,,,soy,,,,,,,,,,,"fad""a",irS,,lol an,,,,,,,,,,,,tel,,,,,,,nur o nur,,,,,nd3m3nt,5in,ko,t3b,,mel,,,,,,,
Mankon,,,,,,,,,,lEm3,kw~e*,b3N3,,,,,yiN3,kw~uo,gw~uo,no,,toNn3,,,,d3g3,,mog3,Su3,,,,luN3,,,,,,kw~e*,,zu73,,doN3,,,kw~i7it3,,fu3,,by~e,,t3l3,,,,kw~iN3,,kum3,,fi3,Cu73,lw~E,,mo73,nd~om nj~E,Nw~o*,,,,,,,zEn,,,gob3,,,,,mu saN3,go7o,n3num3,,,,,lEm3,soN3,t33,ba3,,ky~i3,,,,,,,
Mann,ma,,,,,,,,,bai,wElE,yo,,,,,nu,ga,gb~a,mi,,to,,,,yiE,,tie,kp~a,,,,pa,,,,,,ko,,ma,,be,,,kp~uo,,lE,,bulu,,wE,,,,to,,to,,dE,biE,yu,,do,zi,mi,,,,,,,gE,,,ki,,,,,siENle,gElE,yEnE,,,,,nana,so,yili,pelE,,yi,ko,,,,,,i
Manobo Ata,sikanak,,,,,,,,,laNosa,bokog,susu,,,,,,,asu,inum,,taliNa,,,,mata,,hapuy,Nalap,,,,kaponu7,,,,,,bolad,,dinog,,,,,bu7ol,,doun,,atoy,,kutu,,,,bubuNan,,Nadan,,iam,ma7usilom,iduN,,isa,dalan,otow,,,,,,,pitow,,,laplap,,,,,bitu7on,batu,,,,,,dilo7,Nipon,kayu,dadawa,,woig,sikanta,,,,,,sikoykow
Manobo Dibabawon,si7ak,,,,,,,,,laN3sa,b3k3g,dudu7,,,,,,,idu7,in3m,,taliNa,,,,mata,,kayu,isda7,,,,nap3nu7,,,,,,b3ad,,din3g,,,,,aib,,d3hun,,at3y,,kutu,,,,untud,,Nadan,,baya7,kadukil3m,simud,,s3,daan,3t3w,,,,,,,kita,,,kindaa,,,,,bitu73n,batu,,,,,,dila7,Nip3n,kayu,dadua,,w3hig,kin3w,,,,,,sikuna
Manobo Ilianen,si7ak3n,,,,,,,,,l3N3sa,tulan,susu,,,,,,,asu,inum,,t3liNa,,,,mata,,apuy,s3ra7,,,,n3p3nu7,,,,,,b3lad,,rin3g,,,,,bu73l,,dawun,,at3y,,kutu,,,,bubuNan,,Naran,,b3hu,m3rukil3m,iruN,,s3b3ka,dalan,3t3w,,,,,,,kita,,,lundis,,,,,bitu73n,batu,,,,,,dila7,Nip3n,kayu,d3ruwa,,wayig,sikita,,,,,,sikuna
Manobo Kalamansig Cotabato,ak3n,,,,,,,,,d3panug,tu73lan,susu,,,,,,,tuyaN,in3m,,t3liNa,,,,mata,,apuy,uton,,,,n3p3nu7,,,,,,b3lad,,din3g,,,,,lulud,,da7un,,atay,,kutu,,,,g3tan,,Nadan,,magtu,sig3p,iduN,,s3ba73n,dalan,3taw,,,,,,,ilag,,,kunul,,,,,bitu73n,batu,,,,,,dila7,Nip3n,kayu,duwa,,way3g,kita,,,,,,kuna
Manobo Sarangani,si7ak,,,,,,,,,dipanog,to7lan,soso,,,,,,,toyaN,inom,,toliNa,,,,mata,,apoy,ikan,,,,pono7,,,,,,bolad,,dinog,,,,,bo7ol,,dawon,,atay,,koto,,,,bontod,,Nadan,,kaliN,dolom,idoN,,sobad,dalan,otaw,,,,,,,kita7,,,kindal,,,,,bito7on,bato,,,,,,dila7,Nipon,kayo,dowa,,wayog,sikitadon,,,,,,sikona
Manobo Tigwa,si7ak,,,,,,,,,laN3sa,tul7an,susu,,,,,,,asu,inum,,taliNa,,,,mata,,hapuy,Nalap,,,,nap3nu7,,,,,,b3lad,,din3g,,,,,bu73l,,d3un,,at3y,,kutu,,,,bubuNan,,Nadan,,bag7u,madusil3m,iduN,,sab3ka,dalan,3t3w,,,,,,,kita,,,laNgit,,,,,bitu73n,batu,,,,,,dil37,Nip3n,kayu,dadua,,w3ig,sikanta,,,,,,sik3ik3w
Manobo Western Bukidnon,si7ak,,,,,,,,,l3N3sa,tulan,susu,,,,,,,asu,inum,,t3liNa,,,,mata,,hapuy,pa7it,,,,p3nu7,,,,,,b3lad,,din3g,,,,,bu73l,,dahun,,at3y,,kutu7,,,,buntud,,Nazan,,b3gu,dukil3m,izuN,,s3v3ha,dalan,3t3w,,,,,,,aha7,,,lundis,,,,,bitu73n,batu,,,,,,dila7,Nip3n,kuyu,d3zuwa,,wahig,sikit3w,,,,,,sik3w
Manombai,akoe,,,,,,,,,,,,,,,,,,fi,den,,takar,,,,mata,,au,sima,,,,,,,,,,liemeidi,,,,,,,,,,,,,,,,,seldoeti,,,,,fidie,tyoerin,,etoe,,,,,,,,,dasei,,,,,,,,tawan,fatoe,lara,,,,,kabelerdie,nini,,roea,,waiar,,,,,,,
Mansaka,aku,,,,,,,,,dugu7,p3sa7,aba,,,,,,,idu7,in3m,,tariNa,,,,mata,,aturun,kaya,,,,itmu7,,,,,,b3kt3n,,d3N3g,,,,,tu7ud,,da7un,,atay,,kutu,,,,b3tay,,aran,,bagu,gabi,iluN,,isa,daran,utaw,,,,,,,kita7,,,paris naN 7utaw,,,,,bitu7un,batu,,,,,,dila7,untu,ka7uy,duwa,,tubig,kita,,,,,,ikaw
Mansaka 2,,,,,,,,,,dugu7,p3sa7,susu,,,,,,,idu7,in3m,,taliNa,,,,mata,,atulun,kaya,,,,biyag,,,,,,b3kt3n,,d3N3g,,,,,tu7ud,,,,atay,,kutu,,,,b3tay,,galan,,bagu,gabi,iluN,,isa,,utaw,,,,,,,kita7,,,palis,,,,,bitu7un,batu,,,,,,dila7,untu,ka7uy,duwa,,tubig,,,,,,,
Mansehra Hindko,me*,,,,,,,,,xun,h3di,mome,,,,,a,m3r,kuth~3,pi,,k3n,,,,3kh~,,3g,m3Ci,,,,,,,,,,ba*,,son,,siNg,,,,,p3t3r,,,,,,,,,,na*,,n3*wa*,rat,n3k,,Ekh~,ra,admi,,,,,,,dEx,,,C3mra,,,,,tara,b3ta,di,,,,,jib,d3nd,buta,do,,pani,3si,,,,,,tu*
Mansi,am,,,,,,,,,w3x3r,luw,sy~ak,,,,,yot,xol,amp,ay,,paly~,,,,sam,,nay,xul,,,,tal3N,,,,,,kat,,xuntlal,,any~t,,,sanspuNk,,lupta,,mat,,takum,,,,ny~or,,nam,,yily~py~i,et,ny~ol,,akw~,ly~oNx~,elmx~olas,,,,,,,suns,,,sow,,,,,xus,axw~tas,xotal,,,,,ny~elum,puNk,yiw,ky~it,,wy~it,man,,,,,,naN
Mansoanka,men,,,,,,,,,sin,wuh,woto,,,,,sa,mod,son,mumu,,nihi,,,,fon,,5EtE,boNg,,,,yimsi,,,,,,san,,TEyi,,bok,,,tuTu,,wob,,,,bak,,,,,,wey,,,bo8o,se5,,son,beNgE,nEr,,,,,,,TEk,,,ratE,,,,,weri,,wey,,,,,dEmEtE,wey,ta5,ceN,,mi5,nro,,,,,,m3
Mantasta Ahtena,si,,,,,,,,,tel,"T""en","t""u7",,,,,ya,"ie7th~elT""et","Lik""ie",th~na*,,TaXa7,,,,neqe7,,qh~o*7,Th~apey,,,,lmen,,,,,,la7,,"T""a*",,te7,,,qot,,"k""iet""an7",,zet,,ia7,,,,TeL,,uze7,,"q""atiti",th~eT,enTh~is,,"T""eLq""ey",th~en,"qh~oht""en",,,,,,,L7en,,,"T""is",,,,,so*7,"T""es",sa,,,,,Th~ula7,Xu7,"T""apel",nateqe,,th~u,nen,,,,,,nen
Mantauran,iLa3,,,,,,,,,3rai,paNoLo,soso,,,,,kava7i,Na,ta7oLo,oNolo,,,,,,maca,,,ka7aN3,,,,,,,,,,aLima,,sialaLa,,,,,,,,,,,,,,,L3h3L3h3,,aLac3,,va7oa3,oNo,NoNo7o,,n3ka,vaL3vaL37a3,ocao,,,,,,,c3N3l3,,,piciNi,,,,,tario,apoto,koli7i,,,,,,ali7i,aNato,nosa,,acilai,imit3,,,,,,imia73
Mantauran Rukai,LEo,,,,,,,,,3rEy,pENoLo,soso,,,,,motE7El3v3,mE73t3,tE7oLo,o7oNolo,,TELiNE,,,,mETE,,Epoi,kE7EN3,,,,,,,,,,ELimE,,osiElELE,,,,,,,li7EN3,,EsEy,,koTo,,,,,,ELET3,,vEo7E3,mEoNo,NoNo7o,,n3kE,vEL3vEL37E3,,,,,,,,oT3Nkl3,,,piTiNi,,,,,tErio,L3n3h3,koli7i,,,,,Li8Em3,Eli7i,,nosE,,ETilEy,ENEtE,,,,,,
Mantjiltjara,Nayu,,,,,,,,,miti,tarka,yipi,,,,,,,tand~u,tiki,,kuran,,,,kuru,,waru,,,,,paltalpa,,,,,,marump~u,,kuli,,,,,muti,,parka,,yalu,,,,,,,,yini,,,muNa,mula,,kutu,,punt~u,,,,,,,na,,,likara,,,,,wilpa,yali,tint~u,,,,,nalinpa,yira,wata,kutara,,kalu,,,,,,,nunt~u
Manx,me,,,,,,,,,fol,krew,kix,,,,,Cit,ge8in bes,ma83,iu,,kleS,,,,suly,,ail,yis,,,,lan,,,,,,l3w,,klaStin,,eak,,,glyu5,,dolyag,,en,,mil,,,,slyu,,en3m,,noa,ei,strui5,,un,red,du53,,,,,,,fakin,,,krax3n,,,,,roleg,klax,grin,,,,,Ci53,fix3l,bily3,de,,uSty3,Sin,,,,,,Siu
Manza,,,,,,,,,,to,gb~a*La*,bere,,,,,tE,fe,toLo,no,,zara,,,,Li,,we,zoro,,,,,,,,,,ko*,,,,za,,,,,,,,,bisi,,,,kaLa,,Li,,,tu*,zo*,,kp~o,wara,weLe,,,,,,,zo,,,nd~ara,,,,,sora,ta,wese,,,,,lEfE,goko,te,boa,,Li,,,,,,,
Maonan,"h""e",,,,,,,,,phy$at,dak,,,,,,taN,tai,ma,na,,kh~a,,,,nd~a,,vi,mby$ai,,,,tik,,,,,,sim,,ni,,5au,,,kamku,,va,,tap,,tu,,,,koNpy~a,,dan,,mai,5am,naN,,dEu,kh~un,z3n,,,,,,,kau,,,pi,,,,,z3t,tui,lakvan,,,,,ma,hiu,mai,ya,,nam,nd~e,,,,,,
Maore,,,,,,,,,,mi,ba,bele,,,,,ja,fa,bwa,nwa,,o,,,,co,,oro,fi,,,,jaya,,,,,,,,kia,,yonga,,,gunguno,,ani,,ye,,ndra,,,,lima,,ina,,pia,ku,pua,,moja,cia,wanadamu,,,,,,,uona,,,gwezi,,,,,yora,we,ua,,,,,limi,nyo,ri,mbili,,aji,,,,,,,
Maori,au,katoa,Narehu,pakirikiri,puku,nui,manu,Nau,paNo,toto,poroiwi,,katahu,,kapua,makariri,haramai,mate,kuri,inu,maroke,tariNa,aowhenua,kai,heki,mata,huruhuru,ahi,ika,,rere,waewae,,haotu,pai,,kirini,makawe,riNariNa,mahuNa,roNo,manawa,,,patu,,mohio,rau,takoto,ate,roa,kutu,taNata,nui,,mauNa,waha,iNoa,kaki,hou,popouri,ihu,kihai,tahi,huarahi,taNata,ua,whero,paiaka,,oneone,,kite,kakano,noho,kiri,moe,pakupaku,auahi,tu,whetu,kohatu,ra,kaukau,whiore,tera,tenei,arero,niho,rakau,rua,haere,wai,tatau,heaha,mahina,kowai,wahine,jaro,koutou
Mape,noN,,,,,,,,,dari,sia,omo,,,,,ware,kome,kp~oro,na,,kace,,,,ciNo,,misi,cemb~aeN,,,,puse,,,,,,me,,mane,,cuNe,,,dikaN,,reka,,koruN,,yomeN,,,,tiki,,tina,,garine,ubu,sigo,,moakoN,kadi,NiNg~o,,,,,,,None,,,saki,,,,,bopiN,koruN,wegi,,,,,namaN,mi,yo,yoyoka,,obu,niNo,,,,,,to
Mape 2,no,sosowo,cafe,,ata,yasogo,woro,ki,gogowuk,dari,siak,moN,ca,yuyuN,goweN,moteNne,wape,kome,kp~oro,,ciga,kace,moreN,na,,ciNo,,,,biu,,kigo,fuse,nare,fine,wici,buge,kaNcaN,me,kp~oru,,maki koruN,,foro,,dieN,mane,rekak,,,coraikne,imeN,Nik,boiaha,mosa,tiki,,ciNo,upe,gb~oine,uwu,siko,so,mokotoN,kari,,kue,boboroN,goru,oroN,mageN,mi,Nonenu,fonoN,Ne,mocu,kp~e,mendakne,kosok,dimi,bopiN,kok,wegi,,ci,o,oi,eroN,misio,yok,yoyokak,,owu,noNu,wamo,kp~aN kp~aN,mo7,Nigok,boboNeN,go
Mapidian,unu,,,,,,,,,,,,,,,,,,tcimada,,,utciya,,,,unoso,,hikesia,kamanari,,,,,,,,,,untcigya,,,,,,,kuduru,,,,,,,,,,,,,,,,uneteba,,tcio5i,,,,,,,,,,,,,,,,,,,,,,,,unanob,nu7u,,asagu,,win,,,,,,,igiem
Mapos,sa,,,,,,,,,kok,s3ke,rur,,,,,yam,ndik,ano,num,,n3Na,,,,mala,,n3Nwax,,,,,pup,,,,,,n3ma,,No,,,,,lus,,ris,,ate,,pon3N,,,,k3ndu,,are,,m3wis,mbuk,n3ru,,ti,agata,malux,,,,,,,le,,,nabi,,,,,mb3tux3N,Ng3loN,5eNk,,,,,ndagEn,n3bu,k3lE,lu,,mbel,xE,,,,,,xoN
Mapoyo,wuhu,,,,,,,,,misukuru,yEbE,mati,,,,,wepu,tapiki,weroro,yeni,,pana,,,,yenu yabE,,wato,moroko,,,,,,,,,,yemekunu,,3ta,,,,,,,yari,,itere,,kamu,,,,,,yetu,,sekarono,koba,yEnna,,tEhkenaru,ema,wanai,,,,,,,yeni,,,pibE,,,,,sihkE,tEpu,,,,,,nuru,yE,,sakenaru,,tuna,naha,,,,,,ErE
Maprik,wn3,,,,,,,,,wy~n,apo,mw~5o,,,,,ya,,waTo,,,wan,,,,my~ny~,,ya,gw~ kw~amy~,,,,T3k3r3kN,,,,,,tw~o,,v3kNw~,,,,,kw~aty~ mw~k,,my~ yag3,,wtmy~,,53mw~,,,,n3bw~,,y,,kw~lo,gan,tamw~o,,nok,yabw~,dw~,,,,,,,v3,,,T3p3,,,,,kw~n,matw~,5a,,,,,t3kNal3n,n3by~,my~,v3ty~k,,gw~,an3,,,,,,m3n3
Mapudungun,i5Ce,fily~,tr~ufen,tr~awa l3kun,p3tr~a,f3Ca,35n3m,3nan,kur3,moly~f35,foro,k3rpu,p3tr~etun,namun,tr~om3,w3tr~e,k3pun,lan,tr~ewa,p3tun,piwn,pilun,nagmapu,in,kuram,Ne,piCu5,k3tr~al,Caly~wa,ilo,m3p3tun,namun,apon,w3ln,k3me,yiwi5,kar3,kal,kug,loNko,aly~k3n,piuke,m3ta,e5um,laN3mn,luku,kimn,tap3l,kudun,ke,wif,t3n,wentr~u,al3n,k3yen,wiNkul,w3n,,pel,,pun,y3u,,ki5e,r3p3,Ce,maw3n,kel3,folil,CiNk3d,kuy3m,feipin,p3kintun,f3n,an3nagn,tr~awa,umagn,piCi,fitr~u5,witr~an,waN3len,kura,ant3,weyeln,k3len,t3feiCi,t3faCi,kew3n,3lNa,aliwen,epu,tr~ekatun,ko,i5Ci5,Cem,lig,ineirume,domo,,eimi
Mapudungun 2,i5Ce,,,,,,,,,moLfu5,foro,moyo,,,,,k3pan,faltay,trewa,p3tun,,pilun,,,,Ne,,k3tral,CaLwa,,,,apun,,,,,,kuw3,,aLk3n,,m3ta,,,luku,,tap3l,,p3tun,,tun,,,,kalel,,3i,,we,pun,yu,,ki5e,r3p3,Ce,,,,,,,pen,,,trawa,,,,,waNulen,kura,ant3,,,,,kewun,foro,aliwen,epu,,ko,i5Cin,,,,,,eymi
Mapudungun 3,i5Ce,,,,,,,,,moLf35,foro,moyo,,,,,k3pan,Lan,tr~ewa,p3ton,,pilun,,,,Ne,,k3tr~al,CaLwa,,,,apon,,,,,,k3w3,,aLk3n,,m3ta,,,Luku,,tap3L,,ke,,tun,,,,wiNkul,,3y,,we,pun,yu,,ki5e,r3p3,Ce,,,,,,,pen,,,tr~awa,,,,,waN3len,kura,ant3,,,,,kew3n,foro,aliwen,epu,,ko,i5Ci5,,,,,,eymi
Mapun,aku,,,,,,,,,laha7,towaN,dakan,,,,,pitu,imuwa,ido7,inum,,tiNa,,,,mata,,api,dayiN,,,,,,,,,,taNan,,ke,,,,,,,dawun,,atay,,kutu,,,,,,awon,,bahau,bahaNi,samo,,damb~uwa7,lan,jama,,,,,,,kita,,,kuwit,,,,,potean,batu,,,,,,dala7,imp~on,,duwa,,bohe7,kitabi,,,,,,ko
Maqu Tibetan,Na,,,,,,,,,Ch~ak,r3pa,n3ma,,,,,yoN,x3,Ch~3,nth$oN,,mo,,,,h5~3k,,m5e,5a,,,,kaN,,,,,,lokkw~o,,5an,,ra,,,,,loma,,mCh~3nmb~a,,S3k,,,,rca,,m5aN,,soma,n3pmo,rnand~o,,hC~3k,lam,m53,,,,,,,r3k,,,,,,,,rkarma,rdo,53ma,,,,,rCe,so,rdoNNo,h5~i,,Ch~3,N3,,,,,,Ch~o
Maquiritari,3w3,,,,,,,,,munu,yeh3,doh3d3,,,,,wen3,3ma,s3na,enku,,hana,,,,3nu,,wato,nakukw~ano,,,,,,,,,,amod3,,,,,,,3mu,,yad3,,,,dam3,,,,h3,,,,,Comom3d3,3na,,toni,3ma,soto,,,,,,,ened3,,,hih3,,,,,SidiC3,t3hu,Si,,,,,5udu,ded3,de,ak3,,tuna,k3w3,,,,,,e3m3ed3
Mara,Ninara,,,,,,,,,malawara,,Nurgman,,,,,ba5aty~,Nabar,garwiri,gul,,guwada,,,,,,wadgar,balgur,,,,bir,,,,,,murty~i,,guwada,,,,,midimal,,mb~ilal,,waduwadu,,balabalaNara,,,,,,5iyin,,,namiri,ty~iri,,wa5gity~,maNgan,,,,,,,,minani,,,5adin,,,,,gamirinty~i,manuga,gunaru,,,,,ty~iyil,guyuru,,waruty~a,,Nugu,narwu5a,,,,,,niyara
Maragua,,,,,,,,,,yawar,tuLu,5u5u,,,,,hamu,wa5u,alqu,uxya,,linri,,,,5awi,,nina,,,,,"hunt""a",,,,,,maki,,uyari,,waXra,,,muqu,,laqh~i,,,,usa,,,,urqu,,suti,,musuX,tuta,sinqa,,ux,yan,runa,,,,,,,riku,,,qara,,,,,"C""aska",rumi,inti,,,,,qaLu,kiru,"saC""a",iskay,,yaku,nuqanCis,,,,,,qan
Maragus,k3n3k,,,,,,,,,nd~e,cu,s3s3,,,,,mw~o,mes,lipax,m3n,,nd~3laNa,,,,m3te,,imp~,mec,,,,,,,,,,leme,,r3N,,,,,pw~otili,,ron,,mopu,,x3t,,,,x3s,,x s3,,m3nd~3m3nd~ax,tixat,k3s3,,simuk,sel,,,,,,,,lis,,,ilpe,,,,,mw~eci,bet,el,,,,,mimi,lu,,ru,,wo,nak3ndr$ebw~i,,,,,,nak3m
Maralango,si7ya,,,,,,,,,buek,kanzek,sos,,,,,yaka7,imar,kiam,enum,,NareNa,,,,mara7,,somoa7,,,,,ifuruNk,,,,,,baNge,,ruNo,,,,,gogoro7,,naNgoc,,lagefua,,gor,,,,Zaremp,,beNa,,wafak,birefo7,so7,,takanaNk,mwaco,Na maro7,,,,,,,ibiri,,,sambec,,,,,kwase,batap,suak,,,,,Ngas,Ngando7,ga7,sirok,,mbo7,kaga7,,,,,,kugu
Maramanadji,yikin,,,,,,,,,wulkirim,ama,yeNi,,,,,,,yitin,,,ty~aNi,,,,miri,,ty~enty~i,,,,,pakawuyty~,,,,,,muri,,,,,,,pireNki,,yirin,,aparwu,,,,,,,,winkin,,yaNi,nity~i,yen,,Nanty~ipe,,,,,,,,,,,,ateripiri,,,,,yewi,karawala,panti,,,,,NalNi5aN,ter,tawur,pi5iti,,wuti,NaNkiwi5im,,,,,,na5
Maranao,ako,,,,,,,,,rogo7,tolan,soso,,,,,danon,matay,aso,inom,,taNila,,,,mata,,apoi,seda7,,,,,,,,,,lima,,makineg,,,,,,,ra7on,,atay,,koto,,,,,,Naran,,bego,gagaoi7i,iroN,,isa,lalan,taw,,,,,,,ilay,,,anit,,,,,bito7on,wato,,,,,,dila7,Nipen,,doa,,ig,kita,,,,,,ka
Maranunggu,Na5,,,,,,,,,purwur,mu,yiNi,,,,,,,mi,,,ty~eNi,,,,miri,,yimi5,,,,,pakawuyty~,,,,,,niyuNku,,,,,,,piNkar,,kalkal,,perele,,,,,,,,winka,,yaNu,Nupel,yin,,Nantawa5,,,,,,,,,,,,teripiri5,,,,,m3r3,karawala,kiyik,,,,,Naltirtiri,tir,tawar,miyiti5,,wuta,kity~a,,,,,,nina
Mararba,Nara,,,,,,,,,gulaN,Naraga,,,,,,buna,mogoidiri,wadu,wurgdun,,buduro,,,,mil,,gurda,gwiya,,,,daNaNdiri,,,,,,goN,,Nama,,,,,bun7gumu,,wuruNan,,birila,,,,,,wumbaru,,yago,,yuda,,,,waNgain,gaiT3l,yulNu,,,,,,,nama,,,galNa,,,,,yurbon,badu,walu,,,,,mada,lira,gayu,bul3l,,gabu,Nilimuru,,,,,,ni
Mararit,wa,,,,,,,,,,,kul,,,,,koka,,wuSi,,,gnuSi,,,,meSe,,kaya,hot,,,,,,,,,,way,,zaNa,,,,,kum,,,,,,,,,,kadit,,,,,iSe,emid,,kare,fok,,,,,,,,,,,,,,,,agiNedi,,iri,,,,,laed,gnoNod,kidi,ware,,keriN,wanaNe,,,,,,
Marathi,mi,,,,,,,,,rat,hEdi7,,,,,,ye,mr3ty~u7,k3tra7,bi,,kan37,,,,doLE7,,ag37,maCli,,,,purn37,,,,,,hath~,,ayk,,sund~,,,gh~utn37,,pan,,,,j3nt~u7,,,,pahad,,nav,,n3vin,ratri7,nak,,ek,marg37,manus,,,,,,,b3g,,,C3mdi,,,,,tare,d3g3d,sury37,,,,,jib,dant~,vrikS37,don,,pani,ap3n,,,,,,tula
Marau,nau,,,,,,,,,apu,susuri,susu,,,,,ramai,mae,kui,ko7uko7u,,arina,,,,ma,,suna,i7a,,,,,,,,,,kaika7ina,,noroa,,,,,,,7apa7apana7ai,,raenusu,,,,,,,,ratana,,haoru,me7etani,pano,,eta,tara,inoni,,,,,,,resia,,,rape,,,,,purupuru,hau,,,,,,mea,niho,,rua,,wai,ikoru,,,,,,
